;;;;;;;;;;;;;;;;;;;;;;Container;20';40';40HQ;;;;;;;;;;;;;;
;RISING;;;;;;;;;;;;;;;;;;;;;m3 thÇorique;33;67,3;76;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;m3 rÇel;27;56;66;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Poids Max Kgs;24ˇ000;22ˇ500;22ˇ000;Pour un 20 pieds, si on met plus de 22T, on s'expose Ö des frais supplÇmentaires, car les camions sont plus rares et peuvent àtre plus couteux;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Poids du container;2,20;3,70;4,00;;;;;;;;;;;;;;
;FR;REF HLDP;REF;PRODUITS;PRODUCTS;MOQ;DETAILS;Client;QUANTITY;UNIT;UNIT PRICE;TOTAL AMOUNT;Packing details;m3;Poids;m3/unit;Poids/unit;Units/20';Units/40';Units/40HQ;LF;;;;;;;;;;;;;;;;;;Fournisseur
 ;WOHLSTAND;;;Boåte Couleur Anneau bois;Colorbox Wooden Gym Ring;500;qtitÇ vendue: 70pcs;LF;;PIECE;$0,42;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Boåte Couleur Anneau bois;Colorbox Wooden Gym Ring;1000;qtitÇ vendue: 70pcs;LF;;PIECE;$0,32;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Boåte Couleur balles picots;Colorbox Massage grip ball;500;8cm, 607pcs;LF;;PIECE;$0,28;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Boåte Couleur balles picots;Colorbox Massage grip ball;1000;8cm, 607pcs;LF;;PIECE;$0,19;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Boåte Couleur Bandes lestÇes chevilles;Colorbox Neoprene ankle weight;500;1kg*2, 260pcs;LF;;PIECE;$0,39;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Boåte Couleur Bandes lestÇes chevilles;Colorbox Neoprene ankle weight;1000;1kg*2, 260pcs;LF;;PIECE;$0,28;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Boåte Couleur Bandes lestÇes poignets;Colorbox Neoprene wrist weight;500;;LF;;PIECE;$0,28;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Boåte Couleur Bandes lestÇes poignets;Colorbox Neoprene wrist weight;1000;;LF;;PIECE;$0,20;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Boåte Couleur base Ö picots;Colorbox inflatable massage cushion;500;278pcs;LF;;PIECE;$0,66;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Boåte Couleur base Ö picots;Colorbox inflatable massage cushion;1000;278pcs;LF;;PIECE;$0,50;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
